,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
mai,Maithili,Eurasia,26.0,86.0,mai,Indo-European,,Indic,cff6600,mai,IN NP,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,3.0,,,,,,,,,,22.0,,,,,,,,,,,,,,1.0,4.0,2.0,1.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,3.0,,,4.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,7.0,,4.0,,3.0,,,,,,1.0,1.0,5.0,1.0,,,
maj,Majang,Africa,6.75,35.0,mpe,Eastern Sudanic,,Surmic,sffffcc,mpe,ET,,2.0,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,1.0,1.0,1.0,8.0,,,,1.0,8.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,,1.0,,,,,,2.0,2.0,5.0,3.0,4.0,3.0,,,
mak,Makah,North America,48.3333333333,-124.666666667,myh,Wakashan,,Southern Wakashan,s990099,myh,US,2.0,3.0,5.0,3.0,5.0,2.0,,2.0,3.0,4.0,8.0,5.0,,,,2.0,,2.0,1.0,,1.0,,,,1.0,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,2.0,1.0,1.0,1.0,8.0,,4.0,1.0,,,3.0,,5.0,3.0,2.0,1.0,,6.0,1.0,3.0,,1.0,1.0,2.0,1.0,9.0,,,,,,4.0,,,,4.0,,,8.0,,,1.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,,,3.0,2.0,4.0,5.0,2.0,1.0,3.0,,2.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,7.0,2.0,2.0,,,,,1.0,3.0,1.0,,5.0,5.0,5.0,,,3.0
mal,Malagasy,Africa,-20.0,47.0,plt,Austronesian,,Barito,t990099,plt,MG,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,4.0,3.0,3.0,2.0,,2.0,2.0,2.0,1.0,7.0,,1.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,,1.0,1.0,1.0,,2.0,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,,,1.0,4.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,4.0,,1.0,6.0,4.0,,6.0,8.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,,4.0,1.0,1.0,4.0,5.0,,5.0,1.0,5.0,1.0,,6.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,7.0,,6.0,6.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,5.0,,1.0,,1.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,,1.0,,,,,,5.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0
mam,Mam,North America,15.0,-91.8333333333,mam,Mayan,,Mayan,tff6600,mam,GT,,,,,,1.0,1.0,,2.0,1.0,,,,,,,2.0,3.0,5.0,,1.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,1.0,6.0,7.0,,,,,,,,,,,,,5.0,3.0,,,,,,,8.0,4.0,,,4.0,2.0,,,,,1.0,2.0,,,,,,,,,,9.0,,6.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,2.0,4.0,2.0,,,,2.0,2.0,,,,,3.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,,1.0,,1.0,,,,,,3.0,1.0,1.0,4.0,4.0,5.0,,,3.0
man,Mano,Africa,7.0,-9.0,mev,Mande,,Eastern Mande,d000000,mev,GN LR,,,,,,,,,,,,,,,,,3.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,6.0,2.0,,,,,,,,,,2.0,,,,4.0,1.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,2.0,4.0,2.0,3.0,,,1.0,,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,5.0,1.0,1.0,2.0,,2.0,,,,,,,,,,6.0,2.0,1.0,1.0,,2.0,,,
mao,Maori,Papunesia,-40.0,176.0,mri,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,mri,NZ,1.0,5.0,1.0,1.0,1.0,1.0,,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,4.0,2.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,1.0,4.0,4.0,1.0,1.0,1.0,8.0,,,,1.0,8.0,7.0,4.0,,,,,,,,,,,,,,,1.0,5.0,2.0,,1.0,1.0,1.0,7.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,6.0,5.0,3.0,1.0,1.0,5.0,,1.0,1.0,3.0,1.0,3.0,6.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,9.0,2.0,4.0,3.0,,1.0,4.0,2.0,1.0,1.0,1.0,4.0,,6.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,5.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,,1.0,,,,,2.0,6.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0
map,Mapudungun,South America,-38.0,-72.0,arn,Araucanian,,Araucanian,daa0000,arn,CL,5.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,8.0,5.0,2.0,,,2.0,1.0,1.0,7.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,,2.0,2.0,2.0,,1.0,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,6.0,,,,4.0,8.0,2.0,4.0,,,,,,,,,,,,,,,3.0,8.0,1.0,2.0,1.0,5.0,3.0,1.0,5.0,2.0,5.0,3.0,1.0,5.0,2.0,2.0,,1.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,4.0,,1.0,4.0,2.0,,3.0,3.0,3.0,2.0,4.0,6.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,,1.0,,4.0,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,2.0,,5.0,,3.0,1.0,1.0,1.0
mar,Maricopa,North America,33.1666666667,-113.166666667,mrc,Hokan,,Yuman,tffffff,mrc,US,2.0,2.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,,,4.0,6.0,1.0,7.0,,2.0,,,,1.0,,,2.0,,2.0,,3.0,3.0,2.0,,3.0,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,14.0,4.0,,,2.0,2.0,4.0,18.0,,,,,,,,,,,16.0,,6.0,,4.0,4.0,6.0,6.0,,,,,,,7.0,8.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,5.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,1.0,4.0,2.0,,4.0,2.0,5.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,6.0,,,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,,2.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,,2.0,,3.0,2.0,4.0,5.0,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,7.0,,3.0,3.0,,,,,6.0,,5.0,1.0,5.0,2.0,3.0,3.0,3.0
mas,Masa,Africa,10.5,15.5,mcn,Afro-Asiatic,Chadic,Masa,cff4400,mcn,TD CM,,5.0,,,,,,,,,,,,,,,2.0,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,,2.0,2.0,,4.0,4.0,4.0,,,
