,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
aab,Arapesh (Abu),,-3.45,142.95,,Torricelli,,Kombio-Arapesh,c0000dd,,PG,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,,,,4.0,,,
aar,Aari,Africa,6.0,36.5833333333,aiw,Afro-Asiatic,Omotic,South Omotic,ccccccc,aiw,ET,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,
aba,Abau,Papunesia,-4.0,141.25,aau,Sepik,,Upper Sepik,ddd0000,aau,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,
abb,Arabic (Chadian),Africa,13.8333333333,20.8333333333,shu,Afro-Asiatic,,Semitic,cdd0000,shu,TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abd,Abidji,Africa,5.66666666667,-4.58333333333,abi,Niger-Congo,,Kwa,d009900,abi,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe,Arabic (Beirut),Eurasia,33.9166666667,35.5,apc,Afro-Asiatic,,Semitic,cdd0000,apc,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abh,Arabic (Bahrain),Eurasia,26.0,50.5,abv,Afro-Asiatic,,Semitic,cdd0000,abv,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abi,Abipón,South America,-29.0,-61.0,axb,Guaicuruan,,South Guaicuruan,tff6600,axb,AR,2.0,,5.0,3.0,2.0,,,2.0,,,,,2.0,,,2.0,2.0,3.0,3.0,,,,,,1.0,,3.0,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,2.0,,1.0,2.0,2.0,,,,2.0,,4.0,,,,3.0,,3.0,2.0,,,,6.0,,,,2.0,1.0,1.0,1.0,9.0,,,,,,3.0,,,,1.0,,,,,,2.0,4.0,2.0,4.0,2.0,4.0,,,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,2.0,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,4.0,4.0,5.0,1.0,1.0,3.0
abk,Abkhaz,Eurasia,43.0833333333,41.0,abk,Northwest Caucasian,,Northwest Caucasian,t0000dd,abk,GE,3.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,,2.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,11.0,,,,2.0,2.0,4.0,20.0,,,,,,,,,,,15.0,6.0,,,4.0,4.0,2.0,2.0,,,,,,,1.0,7.0,6.0,,1.0,4.0,5.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,5.0,,5.0,3.0,2.0,1.0,,1.0,,3.0,2.0,4.0,2.0,4.0,2.0,9.0,2.0,5.0,7.0,1.0,,1.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,,,,,,1.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0
abm,Alabama,North America,32.3333333333,-87.4166666667,akz,Muskogean,,Muskogean,c990099,akz,US,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0
abn,Arabana,Australia,-28.25,136.25,ard,Pama-Nyungan,,Central Pama-Nyungan,tcccccc,ard,AU,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,2.0,,,3.0,1.0,,6.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,5.0,,1.0,1.0,,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,2.0,,,
abo,Arbore,Africa,5.0,36.75,arv,Afro-Asiatic,Cushitic,Lowland East Cushitic,cff6600,arv,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,
abu,Abun,Papunesia,-0.5,132.5,kgr,West Papuan,,North-Central Bird's Head,sffffff,kgr,ID,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,1.0,,,2.0,1.0,,,,,,,,3.0,1.0,2.0,,2.0,,,,9.0,,,,3.0,2.0,,,,,,6.0,,,,1.0,,,,,5.0,,5.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,4.0,4.0,4.0,,,
abv,Abui,Papunesia,-8.25,124.666666667,abz,Timor-Alor-Pantar,,Greater Alor,tcccccc,abz,ID,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,2.0,,,2.0,2.0,,,
abw,Abenaki (Western),North America,44.0,-72.25,abe,Algic,,Algonquian,cffffff,abe,CA US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abz,Abaza,Eurasia,44.0,42.0,abq,Northwest Caucasian,,Northwest Caucasian,t0000dd,abq,RU,,,,,,,,,,,3.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
ace,Acehnese,Eurasia,5.5,95.5,ace,Austronesian,,Malayo-Sumbawan,d990099,ace,ID,4.0,,5.0,5.0,2.0,4.0,,2.0,,,,,,,,2.0,,,,1.0,1.0,3.0,1.0,1.0,,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,5.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,9.0,1.0,,,5.0,5.0,,,,,3.0,1.0,,6.0,,1.0,,2.0,,,,9.0,,,,,,4.0,,,,,,,,2.0,1.0,,,,,5.0,,5.0,2.0,,,2.0,1.0,2.0,,,,,,,7.0,,3.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,3.0,5.0,3.0,1.0,5.0,5.0,5.0,,,
acg,Achagua,South America,4.41666666667,-72.25,aca,Arawakan,,Inland Northern Arawakan,cdd0000,aca,CO,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,3.0,4.0,4.0,,,
ach,Aché,South America,-25.25,-55.1666666667,guq,Tupian,,Tupi-Guaraní,dffff00,guq,PY,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
aci,Achí,North America,15.1666666667,-90.5,acr,Mayan,,Mayan,tff6600,acr,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acl,Acholi,Africa,3.0,32.6666666667,ach,Eastern Sudanic,,Nilotic,sffcc00,ach,UG SS,,2.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,9.0,1.0,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,4.0,4.0,4.0,,,
acm,Achumawi,North America,41.5,-121.0,acv,Hokan,,Palaihnihan,c009900,acv,US,2.0,,5.0,2.0,5.0,,,2.0,,,,,,,,,3.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,6.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,2.0,2.0,,,1.0,,2.0,,1.0,2.0,6.0,2.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,
acn,Achang,Eurasia,25.0,98.5,acn,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,f9999ff,acn,CN MM,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,5.0,,,
aco,Acoma,North America,34.9166666667,-107.583333333,kjq,Keresan,,Keresan,f990099,kjq,US,4.0,2.0,5.0,2.0,5.0,,,2.0,1.0,,3.0,4.0,2.0,,,,2.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,3.0,,,,8.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,,5.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,5.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,1.0,7.0,,1.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,1.0,5.0,5.0,5.0,1.0,,3.0
acu,Achuar,South America,-2.66667,-76.0,acu,Jivaroan,,Jivaroan,ddd0000,acu,PE,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,
ada,Adamorobe Sign Language,Africa,5.83333333333,-0.166666666667,ads,other,,Sign Languages,t99ffff,ads,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adg,Adang,Papunesia,-8.2,124.0,adn,Timor-Alor-Pantar,,Greater Alor,tcccccc,adn,ID,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,2.0,,1.0,1.0,4.0,19.0,4.0,,,,,,,,,,17.0,,,2.0,4.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,3.0,,2.0,,1.0,,2.0,,,
adi,Adioukrou,Africa,5.41666666667,-4.58333333333,adj,Niger-Congo,,Kwa,d009900,adj,CI,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,6.0,,,,4.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,3.0,4.0,4.0,,,
adk,Andoke,South America,-0.666666666667,-72.0,ano,,,,d990099,ano,CO,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,4.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,3.0,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,3.0
adn,Adynyamathanha,Australia,-30.5,139.5,adt,Pama-Nyungan,,Central Pama-Nyungan,tcccccc,adt,AU,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,7.0,,1.0,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,
adt,Adyghe (Temirgoy),Eurasia,45.2166666667,39.7,ady,Northwest Caucasian,,Northwest Caucasian,t0000dd,ady,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,ady,Northwest Caucasian,,Northwest Caucasian,t0000dd,ady,RU,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,3.0,,,,,,,,,,,,,,1.0,,2.0,,,3.0
adz,Adzera,Papunesia,-6.25,146.25,adz,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,adz,PG,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,5.0,,2.0,1.0,4.0,19.0,6.0,,15.0,,,9.0,4.0,4.0,7.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,6.0,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,6.0,2.0,,4.0,4.0,4.0,,,
aea,Aleut (Eastern),North America,54.75,-164.0,ale,Eskimo-Aleut,,Aleut,t66ff33,ale,US,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
aeg,Arabic (Egyptian),Africa,30.0,31.0,arz,Afro-Asiatic,,Semitic,cdd0000,arz,EG,2.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,4.0,3.0,2.0,,,,,,3.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,15.0,,14.0,,3.0,2.0,4.0,19.0,3.0,,15.0,,,15.0,4.0,7.0,6.0,4.0,,,,,,,,,,,,,,,1.0,4.0,7.0,1.0,1.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,4.0,4.0,3.0,4.0,3.0,,4.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,,3.0,1.0,4.0,1.0,9.0,2.0,6.0,1.0,1.0,,2.0,2.0,1.0,1.0,3.0,,,6.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,,,2.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0
ael,Arabic (Eastern Libyan),Africa,32.0,22.0,ayl,Afro-Asiatic,,Semitic,cdd0000,ayl,LY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afr,Afrikaans,Africa,-31.0,22.0,afr,Indo-European,,Germanic,cff4400,afr,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,6.0,1.0,,,,,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aga,Agarabi,Papunesia,-6.16666666667,146.0,agd,Trans-New Guinea,,Eastern Highlands,c990099,agd,PG,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,4.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,6.0,,,,,1.0,,,
