language,languageLabel,ISO,countryLabel,MainLanguageLabel
http://www.wikidata.org/entity/Q1860,English,eng,Pakistan,English
http://www.wikidata.org/entity/Q1860,English,eng,Pakistan,Arabic
http://www.wikidata.org/entity/Q1860,English,eng,Sri Lanka,Tamil
http://www.wikidata.org/entity/Q1860,English,eng,Sri Lanka,Sinhala
http://www.wikidata.org/entity/Q5146,Portuguese,por,Taiwan,Hakka
http://www.wikidata.org/entity/Q5146,Portuguese,por,Taiwan,Amis
http://www.wikidata.org/entity/Q5146,Portuguese,por,Taiwan,Taiwanese Hokkien
http://www.wikidata.org/entity/Q5146,Portuguese,por,Taiwan,Austronesian languages
http://www.wikidata.org/entity/Q294,Icelandic,isl,Canada,French
http://www.wikidata.org/entity/Q9129,Greek,ell,Canada,French
http://www.wikidata.org/entity/Q27692,Chipewyan,chp,Canada,French
http://www.wikidata.org/entity/Q27990,Inuvialuktun,ikt,Canada,French
http://www.wikidata.org/entity/Q28070,Inuinnaqtun,ikt,Canada,French
http://www.wikidata.org/entity/Q294,Icelandic,isl,Canada,English
http://www.wikidata.org/entity/Q9129,Greek,ell,Canada,English
http://www.wikidata.org/entity/Q27692,Chipewyan,chp,Canada,English
http://www.wikidata.org/entity/Q27990,Inuvialuktun,ikt,Canada,English
http://www.wikidata.org/entity/Q28070,Inuinnaqtun,ikt,Canada,English
http://www.wikidata.org/entity/Q294,Icelandic,isl,United States of America,American English
http://www.wikidata.org/entity/Q9129,Greek,ell,United States of America,American English
http://www.wikidata.org/entity/Q28269,Lipan,apl,United States of America,American English
http://www.wikidata.org/entity/Q32972,Comanche,com,United States of America,American English
http://www.wikidata.org/entity/Q33358,Hawai'i Sign Language,hps,United States of America,American English
http://www.wikidata.org/entity/Q33395,Gullah,gul,United States of America,American English
http://www.wikidata.org/entity/Q33404,Klallam,clm,United States of America,American English
http://www.wikidata.org/entity/Q9129,Greek,ell,Sweden,Swedish
http://www.wikidata.org/entity/Q294,Icelandic,isl,Denmark,Danish
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Poland,Polish
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Lithuania,Lithuanian
http://www.wikidata.org/entity/Q9129,Greek,ell,Italy,Italian
http://www.wikidata.org/entity/Q9129,Greek,ell,Greece,Greek
http://www.wikidata.org/entity/Q9129,Greek,ell,Greece,Demotic Greek
http://www.wikidata.org/entity/Q9129,Greek,ell,Turkey,Turkish
http://www.wikidata.org/entity/Q33357,Crimean Tatar,crh,Turkey,Turkish
http://www.wikidata.org/entity/Q9129,Greek,ell,Egypt,Arabic
http://www.wikidata.org/entity/Q32930,Bukusu,bxk,Kenya,English
http://www.wikidata.org/entity/Q32930,Bukusu,bxk,Kenya,Swahili
http://www.wikidata.org/entity/Q9129,Greek,ell,United Kingdom,English
http://www.wikidata.org/entity/Q30004,Evenki,evn,People's Republic of China,Standard Chinese
http://www.wikidata.org/entity/Q33332,Jingpho,kac,People's Republic of China,Standard Chinese
http://www.wikidata.org/entity/Q9129,Greek,ell,Russia,Russian
http://www.wikidata.org/entity/Q29960,Even,eve,Russia,Russian
http://www.wikidata.org/entity/Q30004,Evenki,evn,Russia,Russian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Russia,Russian
http://www.wikidata.org/entity/Q33348,Chuvash,chv,Russia,Russian
http://www.wikidata.org/entity/Q33357,Crimean Tatar,crh,Russia,Russian
http://www.wikidata.org/entity/Q9129,Greek,ell,Germany,German
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Belarus,Russian
http://www.wikidata.org/entity/Q33348,Chuvash,chv,Belarus,Russian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Belarus,Belarusian
http://www.wikidata.org/entity/Q33348,Chuvash,chv,Belarus,Belarusian
http://www.wikidata.org/entity/Q294,Icelandic,isl,Iceland,Icelandic
http://www.wikidata.org/entity/Q9129,Greek,ell,Ukraine,Ukrainian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Ukraine,Ukrainian
http://www.wikidata.org/entity/Q33348,Chuvash,chv,Ukraine,Ukrainian
http://www.wikidata.org/entity/Q33357,Crimean Tatar,crh,Ukraine,Ukrainian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Czech Republic,Czech
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Slovakia,Slovak
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Slovenia,Slovene
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Moldova,Moldovan
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Romania,Romanian
http://www.wikidata.org/entity/Q33357,Crimean Tatar,crh,Romania,Romanian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Bulgaria,Bulgarian
http://www.wikidata.org/entity/Q33357,Crimean Tatar,crh,Bulgaria,Bulgarian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,North Macedonia,Albanian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,North Macedonia,Macedonian
http://www.wikidata.org/entity/Q9129,Greek,ell,Albania,Albanian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Croatia,Croatian
http://www.wikidata.org/entity/Q33251,Church Slavonic,chu,Bosnia and Herzegovina,Croatian
