ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
ddo,2269,Eurasia,42.25,45.75,0,"['RUS', 'GEO']",12467.0,"[146804372.0, 3717100.0]","['Point(94.25 66.416666666)', 'Point(43.733330555 42.016669444)']",2
tet,2270,Papunesia,-8.58333333333,125.583333333,0,"['PRT', 'IDN', 'AUS', 'TLS']",463500.0,"[10295909.0, 270625568.0, 24511800.0, 1296311.0]","['Point(-9.183333333 38.7)', 'Point(118.0 -2.0)', 'Point(137.0 -28.0)', 'Point(125.75 -8.966667)']",4
tet,2271,Papunesia,-9.0,126.0,0,"['PRT', 'IDN', 'AUS', 'TLS']",463500.0,"[10295909.0, 270625568.0, 24511800.0, 1296311.0]","['Point(-9.183333333 38.7)', 'Point(118.0 -2.0)', 'Point(137.0 -28.0)', 'Point(125.75 -8.966667)']",4
tks,2272,Eurasia,36.0,49.6666666667,0,IRN,,79966230.0,Point(53.0 32.0),1
bbl,2273,Eurasia,42.5,45.5,0,GEO,3420.0,3717100.0,Point(43.733330555 42.016669444),1
tav,2274,South America,0.416666666667,-70.5,0,COL,,49065615.0,Point(-74.0 4.0),1
pmt,2275,Papunesia,-17.0,-144.0,0,FRA,15000.0,66628000.0,Point(2.0 47.0),1
tbu,2276,North America,27.0,-108.0,1,MEX,,124777324.0,Point(-102.0 23.0),1
tuo,2277,South America,0.5,-69.1666666667,0,"['BRA', 'COL']",,"[210147125.0, 49065615.0]","['Point(-53.0 -14.0)', 'Point(-74.0 4.0)']",2
tsm,2278,Eurasia,39.0,34.0,0,TUR,,83614362.0,Point(36.0 39.0),1
tcy,2279,Eurasia,12.75,75.3333333333,0,IND,2000000.0,1326093247.0,Point(83.0 22.8),1
tmq,2280,Papunesia,-3.08333333333,142.416666667,0,PNG,,8935000.0,Point(147.0 -6.3),1
tun,2281,North America,32.6666666667,-91.0,0,USA,,331449281.0,Point(-98.5795 39.828175),1
tur,2282,Eurasia,39.0,35.0,0,"['GRC', 'TUR', 'BGR', 'CYP']",82231620.0,"[10760421.0, 83614362.0, 7000039.0, 1141166.0, 313626.0]","['Point(23.0 38.5)', 'Point(36.0 39.0)', 'Point(25.5 42.75)', 'Point(33.0 35.0)', 'Point(33.363474 35.180975)']",4
tus,2283,North America,36.0,-77.5,0,"['CAN', 'USA']",,"[37894799.0, 331449281.0]","['Point(-109.0 56.0)', 'Point(-98.5795 39.828175)']",2
ttm,2284,North America,63.0,-137.0,0,CAN,,37894799.0,Point(-109.0 56.0),1
tyv,2285,Eurasia,52.0,95.0,0,"['RUS', 'MNG']",297000.0,"[146804372.0, 3075647.0]","['Point(94.25 66.416666666)', 'Point(104.0 47.0)']",2
tue,2286,South America,0.5,-70.0833333333,0,"['BRA', 'COL']",,"[210147125.0, 49065615.0]","['Point(-53.0 -14.0)', 'Point(-74.0 4.0)']",2
tvt,2287,Eurasia,27.5,96.5,0,IND,,1326093247.0,Point(83.0 22.8),1
twa,2288,North America,47.6666666667,-122.75,0,USA,,331449281.0,Point(-98.5795 39.828175),1
tac,2289,North America,27.5,-108.0,0,MEX,,124777324.0,Point(-102.0 23.0),1
twf,2290,North America,36.5,-105.5,0,USA,,331449281.0,Point(-98.5795 39.828175),1
tix,2291,North America,35.0,-106.333333333,0,USA,,331449281.0,Point(-98.5795 39.828175),1
