,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
960,jam,djd,Jaminjung,Australia,AU,-15.0833333333,130.5,Mirndi,Jaminjungan,0,L
961,jaq,jqr,Jaqaru,South America,PE,-13.0,-76.0,Aymaran,Aymaran,0,L
962,jar,jar,Jarawa (in Nigeria),Africa,NG,9.5,10.5,Niger-Congo,Bantoid,0,
963,jav,jav,Javanese,Papunesia,ID,-7.0,111.0,Austronesian,Javanese,0,L
964,jbt,jbt,Jabutí,South America,BR,-12.25,-62.25,Macro-Ge,Jabutí,0,L
965,jcr,jam,Jamaican Creole,North America,JM,18.1666666667,-77.25,other,Creoles and Pidgins,0,L
966,jeb,jeb,Jebero,South America,PE,-5.41666666667,-76.5,Cahuapanan,Cahuapanan,0,L
967,jeh,jeh,Jeh,Eurasia,VN LA,15.1666666667,107.833333333,Austro-Asiatic,Bahnaric,0,L
968,jel,jek,Jeli,Africa,CI,9.5,-5.66666666667,Mande,Western Mande,0,L
969,jem,tow,Jemez,North America,US,35.8333333333,-107.0,Kiowa-Tanoan,Kiowa-Tanoan,0,L
970,jib,shv,Jibbali,Eurasia,OM,17.5,55.0,Afro-Asiatic,Semitic,0,L
971,jin,jiu jiy,Jino,Eurasia,CN,22.0,101.0,Sino-Tibetan,Burmese-Lolo,0,
972,jiv,jiv,Jivaro,South America,EC,-2.5,-78.0,Jivaroan,Jivaroan,0,L
973,jlu,lwo,Luwo,Africa,SS,8.0,28.0,Eastern Sudanic,Nilotic,0,L
974,jmm,jaa,Jamamadi,South America,BR,-7.5,-67.0,Arauan,Arauan,0,L
975,jmo,bex,Jur Mödö,Africa,SS,6.0,30.0,Central Sudanic,Bongo-Bagirmi,0,L
976,jms,djm,Jamsay,Africa,ML,14.4166666667,-2.5,Dogon,Dogon,0,L
977,jng,kac,Jingpho,Eurasia,MM,25.4166666667,97.0,Sino-Tibetan,Jingpho,0,L
978,joh,rgk,Johari,,IN,30.6666666667,80.0,Sino-Tibetan,Bodic,0,L
979,jom,tlo,Jomang,Africa,SD,10.5833333333,30.5,Kordofanian,Talodi,0,L
980,jpn,jpn,Japanese,Eurasia,JP,37.0,140.0,,,0,L
981,jpr,jru,Japreria,South America,VR,10.5,-73.0,Cariban,Cariban,0,L
982,jrn,jur,Juruna,South America,BR,-5.0,-54.5,Tupian,Tupi-Guaraní,0,L
983,jrw,anq,Jarawa (in Andamans),Eurasia,IN,12.0,92.5833333333,South Andamanese,South Andamanese,0,L
984,jug,nst,Jugli,Eurasia,IN,27.5,96.3333333333,Sino-Tibetan,Northern Naga,0,L
985,juh,ktz,Ju|'hoan,Africa,AO NA BW,-19.0,21.0,Kxa,Ju-Kung,0,L
986,juk,jbu,Jukun,Africa,NG,6.91666666667,10.4166666667,Niger-Congo,Platoid,0,L
987,jum,jua,Júma,South America,BR,-7.5,-64.0,Tupian,Tupi-Guaraní,0,L
988,jun,jun,Juang,Eurasia,IN,21.3333333333,86.0,Austro-Asiatic,Munda,0,L
989,jur,juc,Jurchen,Eurasia,CN,47.0,130.0,Altaic,Tungusic,0,
990,jva,kpj,Karajá,South America,BR,-10.0,-50.3333333333,Macro-Ge,Karajá,0,L
991,jwr,jaa,Jarawara,South America,BR,-7.5,-65.5,Arauan,Arauan,0,L
992,kaa,arr,Karó (Arára),South America,BR,-10.3333333333,-62.0,Tupian,Ramarama,0,L
993,kab,kbd,Kabardian,Eurasia,RU,43.5,43.5,Northwest Caucasian,Northwest Caucasian,0,L
994,kac,xac,Kachari,Eurasia,IN,26.5,91.0,Sino-Tibetan,Bodo-Garo,0,L
995,kad,xtc,Kadugli,Africa,SD,11.0,29.6666666667,Kadu,Kadugli,0,L
996,kae,tbd,Kaki Ae,Papunesia,PG,-8.0,145.833333333,Eleman,Tate,0,L
997,kag,kge,Komering,Papunesia,ID,-3.16666666667,104.916666667,Austronesian,Lampungic,0,L
998,kai,kct,Kaian,Papunesia,PG,-4.08333333333,144.75,Lower Sepik-Ramu,Lower Ramu,0,L
999,kaj,bpp,Kaure,Papunesia,ID,-3.41666666667,140.083333333,,,0,L
1000,kak,kbq,Kamano-Kafe,Papunesia,PG,-6.25,145.666666667,Trans-New Guinea,Eastern Highlands,0,L
1001,kal,gwc,Kalami,Eurasia,PK,35.5,72.5,Indo-European,Indic,0,L
1002,kam,xbr,Kambera,Papunesia,ID,-9.83333333333,120.166666667,Austronesian,Central Malayo-Polynesian,0,L
1003,kan,ogo,Kana,Africa,NG,4.75,7.41666666667,Niger-Congo,Cross River,0,L
1004,kao,kyj,Karao,Papunesia,PH,16.5,120.833333333,Austronesian,Northern Luzon,0,L
