language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q13343,Moksha,6b Threatened,2025,mdf,Russia,mmo,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q27993,Central Siberian Yupik,5 Developing,1800,ess,Russia,yus,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q29960,Even,7 Shifting,5660,eve,Russia,evn,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33054,Bezhta,5 Developing,6000,kap,Russia,bez,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q33170,Chukchi,6b Threatened,5100,ckt,Russia,chk,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q34139,Shor,7 Shifting,2839,cjs,Russia,shr,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q36199,Koryak,6b Threatened,3500,kpy,Russia,kry,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q36860,Tindi,6b Threatened,6693,tin,Russia,tnd,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q36867,Udi,5 Developing,8000,udi,Russia,udi,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q56636,Karata,6b Threatened,6000,kpt,Russia,krt,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q13248,Upper Sorbian,4 Educational,13300,hsb,Germany,sou,0.926,Point(10.0 51.0),83149300
http://www.wikidata.org/entity/Q13286,Lower Sorbian,8a Moribund,6670,dsb,Germany,srl,0.926,Point(10.0 51.0),83149300
http://www.wikidata.org/entity/Q36867,Udi,5 Developing,8000,udi,Azerbaijan,udi,0.751,Point(47.7 40.3),10127874
http://www.wikidata.org/entity/Q33054,Bezhta,5 Developing,6000,kap,Georgia,bez,0.754,Point(43.733330555 42.016669444),3717100
http://www.wikidata.org/entity/Q33259,Bats,7 Shifting,3420,bbl,Georgia,ttu,0.754,Point(43.733330555 42.016669444),3717100
http://www.wikidata.org/entity/Q36867,Udi,5 Developing,8000,udi,Georgia,udi,0.754,Point(43.733330555 42.016669444),3717100
http://www.wikidata.org/entity/Q56657,Abun,6b Threatened,3000,kgr,Indonesia,abu,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q2927952,Buli,6b Threatened,2524,bzq,Indonesia,bui,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q3398276,Adang,6b Threatened,3000,adn,Indonesia,adg,0.694,Point(118.0 -2.0),270625568
