ID,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Lexifier,Num_Speakers,Abandono,Pidgin/Creole
abn,Arabana,Australia,-28.25,136.25,ard,Pama-Nyungan,,ard,AU,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,2.0,,,3.0,1.0,,6.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,5.0,,1.0,1.0,,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0
abo,Arbore,Africa,5.0,36.75,arv,Afro-Asiatic,Cushitic,arv,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,,,,2.0,2.0,,,,,,,0.0
abu,Abun,Papunesia,-0.5,132.5,kgr,West Papuan,,kgr,ID,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,6.0,,,1.0,1.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,1.0,,4.0,5.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,1.0,,,2.0,1.0,,,,,,,,3.0,1.0,2.0,,2.0,,,,9.0,,,,3.0,2.0,,,,,,6.0,,,,1.0,,,,,5.0,,5.0,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,4.0,4.0,4.0,,,,,,,0.0
abv,Abui,Papunesia,-8.25,124.666666667,abz,Timor-Alor-Pantar,,abz,ID,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,,,2.0,,,2.0,2.0,,,,,,,0.0
abw,Abenaki (Western),North America,44.0,-72.25,abe,Algic,,abe,CA US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
abz,Abaza,Eurasia,44.0,42.0,abq,Northwest Caucasian,,abq,RU,,,,,,,,,,,3.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0
ace,Acehnese,Eurasia,5.5,95.5,ace,Austronesian,,ace,ID,4.0,,5.0,5.0,2.0,4.0,,2.0,,,,,,,,2.0,,,,1.0,1.0,3.0,1.0,1.0,,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,5.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,9.0,1.0,,,5.0,5.0,,,,,3.0,1.0,,6.0,,1.0,,2.0,,,,9.0,,,,,,4.0,,,,,,,,2.0,1.0,,,,,5.0,,5.0,2.0,,,2.0,1.0,2.0,,,,,,,7.0,,3.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,3.0,5.0,3.0,1.0,5.0,5.0,5.0,,,,,,,0.0
acg,Achagua,South America,4.41666666667,-72.25,aca,Arawakan,,aca,CO,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,6.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,2.0,3.0,,2.0,,,,4.0,1.0,7.0,4.0,,,,,,,,,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,,3.0,4.0,4.0,,,,,,,0.0
ach,Aché,South America,-25.25,-55.1666666667,guq,Tupian,,guq,PY,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,0.0
aci,Achí,North America,15.1666666667,-90.5,acr,Mayan,,acr,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
acl,Acholi,Africa,3.0,32.6666666667,ach,Eastern Sudanic,,ach,UG SS,,2.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,1.0,4.0,16.0,,,13.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,9.0,1.0,,,,,2.0,,,,,,,,2.0,,,,,,1.0,,1.0,4.0,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,4.0,4.0,4.0,,,,,,,0.0
acm,Achumawi,North America,41.5,-121.0,acv,Hokan,,acv,US,2.0,,5.0,2.0,5.0,,,2.0,,,,,,,,,3.0,2.0,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,6.0,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,4.0,,,,,,,,2.0,2.0,,,1.0,,2.0,,1.0,2.0,6.0,2.0,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,0.0
acn,Achang,Eurasia,25.0,98.5,acn,Sino-Tibetan,Tibeto-Burman,acn,CN MM,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,,,,,,,2.0,2.0,,1.0,1.0,5.0,,,,,,,0.0
aco,Acoma,North America,34.9166666667,-107.583333333,kjq,Keresan,,kjq,US,4.0,2.0,5.0,2.0,5.0,,,2.0,1.0,,3.0,4.0,2.0,,,,2.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,3.0,,,,8.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,5.0,1.0,,5.0,2.0,3.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,5.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,1.0,7.0,,1.0,3.0,6.0,1.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,1.0,5.0,5.0,5.0,1.0,,3.0,,,,0.0
acu,Achuar,South America,-2.66667,-76.0,acu,Jivaroan,,acu,PE,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,0.0
ada,Adamorobe Sign Language,Africa,5.83333333333,-0.166666666667,ads,other,,ads,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
adg,Adang,Papunesia,-8.2,124.0,adn,Timor-Alor-Pantar,,adn,ID,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,2.0,,1.0,1.0,4.0,19.0,4.0,,,,,,,,,,17.0,,,2.0,4.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,2.0,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,3.0,,2.0,,1.0,,2.0,,,,,,,0.0
adi,Adioukrou,Africa,5.41666666667,-4.58333333333,adj,Niger-Congo,,adj,CI,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,6.0,,,,4.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,2.0,2.0,2.0,5.0,3.0,4.0,4.0,,,,,,,0.0
adk,Andoke,South America,-0.666666666667,-72.0,ano,,,ano,CO,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,4.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,3.0,2.0,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,3.0,,,,0.0
adn,Adynyamathanha,Australia,-30.5,139.5,adt,Pama-Nyungan,,adt,AU,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,7.0,,1.0,3.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,,,,,,,0.0
adt,Adyghe (Temirgoy),Eurasia,45.2166666667,39.7,ady,Northwest Caucasian,,ady,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ady,Adyghe (Abzakh),Eurasia,45.2333333333,40.5833333333,ady,Northwest Caucasian,,ady,RU,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,3.0,,,,,,,,,,,,,,1.0,,2.0,,,3.0,,,,0.0
adz,Adzera,Papunesia,-6.25,146.25,adz,Austronesian,Eastern Malayo-Polynesian,adz,PG,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,5.0,,2.0,1.0,4.0,19.0,6.0,,15.0,,,9.0,4.0,4.0,7.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,6.0,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,6.0,2.0,,4.0,4.0,4.0,,,,,,,0.0
aea,Aleut (Eastern),North America,54.75,-164.0,ale,Eskimo-Aleut,,ale,US,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0
aeg,Arabic (Egyptian),Africa,30.0,31.0,arz,Afro-Asiatic,,arz,EG,2.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,8.0,5.0,2.0,,2.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,4.0,3.0,2.0,,,,,,3.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,15.0,,14.0,,3.0,2.0,4.0,19.0,3.0,,15.0,,,15.0,4.0,7.0,6.0,4.0,,,,,,,,,,,,,,,1.0,4.0,7.0,1.0,1.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,4.0,4.0,3.0,4.0,3.0,,4.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,,3.0,1.0,4.0,1.0,9.0,2.0,6.0,1.0,1.0,,2.0,2.0,1.0,1.0,3.0,,,6.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,,,2.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,,,,0.0
ael,Arabic (Eastern Libyan),Africa,32.0,22.0,ayl,Afro-Asiatic,,ayl,LY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
afr,Afrikaans,Africa,-31.0,22.0,afr,Indo-European,,afr,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,6.0,1.0,,,,,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
