ISO,WALS_ID,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Status_X_L,Lenguaje de Señas,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord
aah,aab,Arapesh (Abu),,-3.45,142.95,Torricelli,,Kombio-Arapesh,PG,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,4.0,6.0,,4.0,,,,4.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,2.0,2.0,,,,4.0,,,,L,0,Papua New Guinea,PNG,6b Threatened,2560.0,0.555,8935000.0,Point(147.0 -6.3)
aiw,aar,Aari,Africa,6.0,36.5833333333,Afro-Asiatic,Omotic,South Omotic,ET,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,3.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,,,1.0,2.0,2.0,,,,L,0,Ethiopia,ETH,4 Educational,"[13300.0, 253000.0, 285000.0]",0.463,104957438.0,Point(40.0 9.0)
aau,aba,Abau,Papunesia,-4.0,141.25,Sepik,,Upper Sepik,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,4.0,8.0,4.0,,,,,,,,,,4.0,,,,4.0,4.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,L,0,Papua New Guinea,PNG,5 Developing,7270.0,0.555,8935000.0,Point(147.0 -6.3)
shu,abb,Arabic (Chadian),Africa,13.8333333333,20.8333333333,Afro-Asiatic,,Semitic,TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']"
shu,arn,Arabic (Borno Nigerian),Africa,8.58333333333,12.4166666667,Afro-Asiatic,,Semitic,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Niger', 'Nigeria', 'Sudan', 'Chad', 'Central African Republic', 'South Sudan', 'Cameroon']","['NER', 'NGA', 'SDN', 'TCD', 'CAF', 'SSD', 'CMR']",3 Wider Communication,1100000.0,"[0.354, 0.532, 0.502, 0.404, 0.367, 0.388, 0.556]","[21477348.0, 190886311.0, 40533330.0, 15477751.0, 4659080.0, 12575714.0, 24053727.0]","['Point(10.0 17.0)', 'Point(8.0 9.0)', 'Point(32.0 15.0)', 'Point(19.4 15.466667)', 'Point(20.9 6.7)', 'Point(30.0 7.0)', 'Point(12.0 7.0)']"
abi,abd,Abidji,Africa,5.66666666667,-4.58333333333,Niger-Congo,,Kwa,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Ivory Coast,CIV,5 Developing,51000.0,0.492,24294750.0,Point(-6.0 8.0)
apc,abe,Arabic (Beirut),Eurasia,33.9166666667,35.5,Afro-Asiatic,,Semitic,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,anl,Arabic (North Levantine Spoken),Eurasia,33.75,36.0,Afro-Asiatic,,Semitic,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,arl,Arabic (Lebanese),Eurasia,34.0,36.0,Afro-Asiatic,,Semitic,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
apc,asy,Arabic (Syrian),Eurasia,34.0,38.0,Afro-Asiatic,,Semitic,SY,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,16.0,3.0,,13.0,10.0,,,4.0,1.0,7.0,4.0,,,,,,,,,14.0,,1.0,6.0,4.0,,1.0,4.0,4.0,1.0,,,,,,,,,,,,3.0,1.0,,,,2.0,2.0,3.0,6.0,,,,3.0,4.0,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,7.0,3.0,3.0,2.0,,2.0,2.0,2.0,6.0,3.0,,1.0,,1.0,,,,,3.0,2.0,1.0,1.0,4.0,4.0,4.0,,,,L,0,"['Turkey', 'Lebanon', 'Syria', 'State of Palestine']","['TUR', 'LBN', 'SYR', 'PSE']",3 Wider Communication,,"[0.82, 0.757, 0.536, 0.686]","[83614362.0, 6100075.0, 18499181.0, 5227193.0]","['Point(36.0 39.0)', 'Point(35.766667 33.833333)', 'Point(38.583333 35.216667)', 'Point(35.25 32.0)']"
