,ISO,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
1413,mdh,Papunesia,6.83333333333,124.5,0.0,PHL,1100000.0,100981437.0,Point(123.0 12.0),1
1414,lol,Africa,0.0,21.0,0.0,COD,400000.0,86790567.0,Point(23.656 -2.88),1
1415,mge,Africa,8.75,17.0,0.0,TCD,96000.0,15477751.0,Point(19.4 15.466667),1
1416,mug,Africa,10.8333333333,14.9166666667,0.0,"['TCD', 'CMR']",164400.0,"[15477751.0, 24053727.0]","['Point(19.4 15.466667)', 'Point(12.0 7.0)']",2
1417,xpq,North America,42.6666666667,-73.5,0.0,USA,0.0,331449281.0,Point(-98.5795 39.828175),1
1418,mar,Eurasia,19.0,76.0,0.0,IND,77000000.0,1326093247.0,Point(83.0 22.8),1
1419,nux,Papunesia,-3.75,142.5,0.0,PNG,6300.0,8935000.0,Point(147.0 -6.3),1
1420,mrg,Eurasia,27.9166666667,93.8333333333,0.0,IND,630000.0,1326093247.0,Point(83.0 22.8),1
1421,mrg,Eurasia,28.5,94.8333333333,0.0,IND,630000.0,1326093247.0,Point(83.0 22.8),1
1422,mhe,Eurasia,2.83333333333,101.5,0.0,MYS,2990.0,31624264.0,Point(108.0 3.0),1
1423,lnb,Africa,-17.5,15.0,0.0,NAM,200.0,2533794.0,Point(17.0 -23.0),1
1424,mic,North America,45.0,-63.0,0.0,CAN,8270.0,37894799.0,Point(-109.0 56.0),1
1425,mei,Africa,15.0833333333,26.25,0.0,SDN,85000.0,40533330.0,Point(32.0 15.0),1
1426,ium,Eurasia,25.0,111.0,0.0,"['USA', 'FRA', 'CHN', 'LAO', 'MMR', 'THA', 'VNM']",820000.0,"[331449281.0, 66628000.0, 1409517397.0, 1443497378.0, 6858160.0, 53370609.0, 65931550.0, 94660000.0]","['Point(-98.5795 39.828175)', 'Point(2.0 47.0)', 'Point(103.451944444 35.844722222)', 'Point(104.0 18.2)', 'Point(96.0 22.0)', 'Point(101.0 14.0)', 'Point(108.0 16.0)']",7
