,ISO,Name,Macroarea,Latitude_lang,Longitude_lang,Status_X_L,Status,num_speakers,cant_paises,Native_country,country_ISO,Latitude_country,Longitude_country,Coord_country_point,country_population,Family,Genus,WALS_ID,HDI,Nearest_languages
516,cso,Chinantec (Sochiapan),North America,17.75,-96.6666666667,0.0,5 Developing,3590.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Chinantecan,csc,0.756,148
517,cuc,Chinantec (San Felipe Usila),North America,17.9166666667,-96.5,0.0,6a Vigorous,139000.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Chinantecan,csf,0.756,148
518,cbs,Cashinahua,South America,-10.5,-71.8333333333,0.0,5 Developing,7420.0,2,BR PE,"['BRA', 'PER']","[-14.0, -9.4]","[-53.0, -76.0]","['Point(-53.0 -14.0)', 'Point(-76.0 -9.4)']","[210147125.0, 29381884.0]",Panoan,Panoan,csh,"[0.754, 0.75]",130
519,csk,Diola-Kasa,Africa,12.5,-16.75,0.0,5 Developing,45100.0,1,,SEN,[14.366667],[-14.283333],Point(-14.283333 14.366667),15850567.0,Niger-Congo,Bak,csk,0.505,18
520,ctp,Chatino (Sierra Occidental),North America,16.25,-97.3333333333,0.0,5 Developing,16000.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Zapotecan,cso,0.756,152
521,ctp,Chatino (Yaitepec),North America,16.25,-97.3333333333,0.0,5 Developing,16000.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Zapotecan,cya,0.756,152
522,cnt,Chinantec (Tepetotutla),North America,17.8333333333,-96.5,0.0,6a Vigorous,139000.0,1,MX,MEX,[23.0],[-102.0],Point(-102.0 23.0),124777324.0,Oto-Manguean,Chinantecan,cte,0.756,148
523,ctd,Chin (Tiddim),Eurasia,23.3333333333,93.6666666667,0.0,5 Developing,411000.0,2,MM,"['MMR', 'IND']","[22.0, 22.8]","[96.0, 83.0]","['Point(96.0 22.0)', 'Point(83.0 22.8)']","[53370609.0, 1326093247.0]",Sino-Tibetan,Kuki-Chin,cti,"[0.578, 0.64]",178
524,cat,Catalan,Eurasia,41.75,2.0,0.0,2 Provincial,5100000.0,1,ES,ESP,[40.2],[-3.5],Point(-3.5 40.2),46733038.0,Indo-European,Romance,ctl,0.876,75
525,ctm,Chitimacha,North America,29.6666666667,-91.0,0.0,9 Dormant,0.0,1,US,USA,[39.828175],[-98.5795],Point(-98.5795 39.828175),331449281.0,,,ctm,0.92,51
