country,countryLabel,language,languageLabel,ISO,countryISO
http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1860,English,eng,IRL
http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q9142,Irish,gle,IRL
http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q9067,Hungarian,hun,HUN
http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q1321,Spanish,spa,ESP
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q150,French,fra,BEL
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q188,German,deu,BEL
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q7411,Dutch,nld,BEL
http://www.wikidata.org/entity/Q32,Luxembourg,http://www.wikidata.org/entity/Q150,French,fra,LUX
http://www.wikidata.org/entity/Q32,Luxembourg,http://www.wikidata.org/entity/Q188,German,deu,LUX
http://www.wikidata.org/entity/Q32,Luxembourg,http://www.wikidata.org/entity/Q9051,Luxembourgish,ltz,LUX
http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q1412,Finnish,fin,FIN
http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q9027,Swedish,swe,FIN
http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q9027,Swedish,swe,SWE
http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q9035,Danish,dan,DNK
http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q809,Polish,pol,POL
http://www.wikidata.org/entity/Q37,Lithuania,http://www.wikidata.org/entity/Q9083,Lithuanian,lit,LTU
http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q652,Italian,ita,ITA
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q150,French,fra,CHE
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q188,German,deu,CHE
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q652,Italian,ita,CHE
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q13199,Romansh,roh,CHE
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q188,German,deu,AUT
http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q36668,Austrian Sign Language,asq,AUT
http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q9129,Greek,ell,GRC
http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q256,Turkish,tur,TUR
http://www.wikidata.org/entity/Q45,Portugal,http://www.wikidata.org/entity/Q5146,Portuguese,por,PRT
