,ISO,WALS_ID,Name,Macroarea,Native_country,Latitude_lang,Longitude_lang,Family,Genus,Country_name,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest,Status_binario,official_in
2269,ddo,tsz,Tsez,Eurasia,RU,42.25,45.75,Nakh-Daghestanian,Avar-Andic-Tsezic,"['Russia', 'Georgia']","['RUS', 'GEO']",6b Threatened,12467.0,"[0.816, 0.754]","[146804372.0, 3717100.0]","[<shapely.geometry.point.Point object at 0x7f53a31d2f10>, <shapely.geometry.point.Point object at 0x7f53a31d2100>]",2,"[94.25, 43.733330555]","[66.416666666, 42.016669444]",58.0,0.0,
2270,tet,ttd,Tetun Dili,Papunesia,TL,-8.58333333333,125.583333333,Austronesian,Central Malayo-Polynesian,"['Portugal', 'Indonesia', 'Australia', 'East Timor']","['PRT', 'IDN', 'AUS', 'TLS']",5 Developing,463500.0,"[0.83, 0.694, 0.939, 0.625]","[10295909.0, 270625568.0, 24511800.0, 1296311.0]","[<shapely.geometry.point.Point object at 0x7f53a31d2a00>, <shapely.geometry.point.Point object at 0x7f53a31d2430>, <shapely.geometry.point.Point object at 0x7f53a31d2ac0>, <shapely.geometry.point.Point object at 0x7f53a31d2520>]",4,"[-9.183333333, 118.0, 137.0, 125.75]","[38.7, -2.0, -28.0, -8.966667]",47.0,1.0,['TLS']
2271,tet,ttn,Tetun,Papunesia,TL,-9.0,126.0,Austronesian,Central Malayo-Polynesian,"['Portugal', 'Indonesia', 'Australia', 'East Timor']","['PRT', 'IDN', 'AUS', 'TLS']",5 Developing,463500.0,"[0.83, 0.694, 0.939, 0.625]","[10295909.0, 270625568.0, 24511800.0, 1296311.0]","[<shapely.geometry.point.Point object at 0x7f53a31d2610>, <shapely.geometry.point.Point object at 0x7f53a31d2910>, <shapely.geometry.point.Point object at 0x7f53a31d2850>, <shapely.geometry.point.Point object at 0x7f53a2d19430>]",4,"[-9.183333333, 118.0, 137.0, 125.75]","[38.7, -2.0, -28.0, -8.966667]",47.0,1.0,['TLS']
2272,tks,tts,Tati (Southern),Eurasia,IR,36.0,49.6666666667,Indo-European,Iranian,Iran,IRN,7 Shifting,,0.798,79966230.0,POINT (53 32),1,53.0,32.0,44.0,0.0,
2273,bbl,ttu,Tsova-Tush,Eurasia,GE,42.5,45.5,Nakh-Daghestanian,Nakh,Georgia,GEO,7 Shifting,3420.0,0.754,3717100.0,POINT (43.733330555 42.016669444),1,43.733330555,42.016669444,47.0,0.0,
2274,tav,tty,Tatuyo,South America,CO,0.416666666667,-70.5,Tucanoan,Tucanoan,Colombia,COL,6a Vigorous,330.0,0.747,49065615.0,POINT (-74 4),1,-74.0,4.0,85.0,1.0,
2275,pmt,tua,Tuamotuan,Papunesia,PF,-17.0,-144.0,Austronesian,Oceanic,France,FRA,6b Threatened,15000.0,0.888,66628000.0,POINT (2 47),1,2.0,47.0,1.0,0.0,
2276,tbu,tub,Tubar,North America,MX,27.0,-108.0,Uto-Aztecan,Tubar,Mexico,MEX,10 Extinct,0.0,0.756,124777324.0,POINT (-102 23),1,-102.0,23.0,79.0,0.0,
2277,tuo,tuc,Tucano,South America,CO BR,0.5,-69.1666666667,Tucanoan,Tucanoan,"['Brazil', 'Colombia']","['BRA', 'COL']",5 Developing,11620.0,"[0.754, 0.747]","[210147125.0, 49065615.0]","[<shapely.geometry.point.Point object at 0x7f53a2d196a0>, <shapely.geometry.point.Point object at 0x7f53a2d19820>]",2,"[-53.0, -74.0]","[-14.0, 4.0]",2.0,1.0,
2278,tsm,tui,Türk Isaret Dili,Eurasia,TR,39.0,34.0,other,Sign Languages,Turkey,TUR,6a Vigorous,,0.82,83614362.0,POINT (36 39),1,36.0,39.0,32.0,1.0,
