,ISO,WALS_ID,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,senas,Status_X_L,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest
658,opt,eud,Eudeve,North America,MX,29.1666666667,-109.666666667,Uto-Aztecan,Opata-Eudeve,0,X,Mexico,MEX,10 Extinct,,0.756,124777324.0,POINT (-102 23),1,-102.0,23.0,73.0
659,evn,eve,Evenki,Eurasia,RU,56.0,125.0,Altaic,Tungusic,0,L,"[""People's Republic of China"", 'Russia']","['CHN', 'RUS']",7 Shifting,15800.0,"[0.752, 0.816]","[1409517397.0, 1443497378.0, 146804372.0]","[<shapely.geometry.point.Point object at 0x7f72c042d5e0>, <shapely.geometry.point.Point object at 0x7f72c042d640>]",2,"[103.451944444, 94.25]","[35.844722222, 66.416666666]",23.0
660,evn,mkh,Mongol (Khamnigan),Eurasia,CN MN,49.0,117.0,Altaic,Mongolic,0,L,"[""People's Republic of China"", 'Russia']","['CHN', 'RUS']",7 Shifting,15800.0,"[0.752, 0.816]","[1409517397.0, 1443497378.0, 146804372.0]","[<shapely.geometry.point.Point object at 0x7f72c042d6a0>, <shapely.geometry.point.Point object at 0x7f72c042d700>]",2,"[103.451944444, 94.25]","[35.844722222, 66.416666666]",23.0
661,evn,sol,Solon,Eurasia,CN,48.0,120.0,Altaic,Tungusic,0,L,"[""People's Republic of China"", 'Russia']","['CHN', 'RUS']",7 Shifting,15800.0,"[0.752, 0.816]","[1409517397.0, 1443497378.0, 146804372.0]","[<shapely.geometry.point.Point object at 0x7f72c042d760>, <shapely.geometry.point.Point object at 0x7f72c042d7c0>]",2,"[103.451944444, 94.25]","[35.844722222, 66.416666666]",23.0
662,eve,evn,Even,Eurasia,RU,68.0,130.0,Altaic,Tungusic,0,L,Russia,RUS,7 Shifting,5660.0,0.816,146804372.0,POINT (94.25 66.416666666),1,94.25,66.416666666,13.0
663,ewe,ewa,Ewe (Anglo),Africa,GH,6.0,1.0,Niger-Congo,Kwa,0,L,"['Ghana', 'Togo']","['GHA', 'TGO']",3 Wider Communication,3000000.0,"[0.592, 0.503]","[26908262.0, 7797694.0]","[<shapely.geometry.point.Point object at 0x7f72c042d8b0>, <shapely.geometry.point.Point object at 0x7f72c042d880>]",2,"[-0.5, 1.183333]","[8.0, 8.25]",374.0
664,ewe,ewe,Ewe,Africa,TG GH,6.33333333333,0.416666666667,Niger-Congo,Kwa,0,L,"['Ghana', 'Togo']","['GHA', 'TGO']",3 Wider Communication,3000000.0,"[0.592, 0.503]","[26908262.0, 7797694.0]","[<shapely.geometry.point.Point object at 0x7f72c042d970>, <shapely.geometry.point.Point object at 0x7f72c042d940>]",2,"[-0.5, 1.183333]","[8.0, 8.25]",374.0
665,ewo,ewo,Ewondo,Africa,CM,4.0,12.0,Niger-Congo,Bantoid,0,L,Cameroon,CMR,3 Wider Communication,578000.0,0.556,24053727.0,POINT (12 7),1,12.0,7.0,242.0
666,eya,eya,Eyak,North America,US,60.5,-145.0,Na-Dene,Eyak,0,L,United States of America,USA,9 Dormant,0.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,6.0
667,fao,far,Faroese,Eurasia,DK,62.0,-7.0,Indo-European,Germanic,0,L,"['Faroe Islands', 'Danish Realm']","['FRO', 'DNK']",1 National,69150.0,,"[52154.0, 5930987.0]","[<shapely.geometry.point.Point object at 0x7f72c042dac0>, <shapely.geometry.point.Point object at 0x7f72c042db20>, <shapely.geometry.point.Point object at 0x7f72c042db80>, <shapely.geometry.point.Point object at 0x7f72c042dbe0>]",2,"[-6.844480555, -6.844444444, -40.0, 10.0]","[61.969944444, 61.97, 72.0, 56.0]",14.0
668,faa,fas,Fasu,Papunesia,PG,-6.58333333333,143.333333333,Trans-New Guinea,Fasu,0,L,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,349.0
669,fuh,fbf,Fula (Burkina Faso),Africa,BF,14.0,0.0,Niger-Congo,Peul-Serer,0,L,"['Benin', 'Burkina Faso', 'Niger']","['BEN', 'BFA', 'NER']",5 Developing,,"[0.515, 0.423, 0.354]","[11175692.0, 19193382.0, 21477348.0]","[<shapely.geometry.point.Point object at 0x7f72c042dca0>, <shapely.geometry.point.Point object at 0x7f72c042dd00>, <shapely.geometry.point.Point object at 0x7f72c042dd60>]",3,"[2.183333333, -2.066667, 10.0]","[8.833333333, 12.266667, 17.0]",612.0
670,fuh,fli,Ful (Liptako),Africa,BF,13.5,0.5,Niger-Congo,Peul-Serer,0,L,"['Benin', 'Burkina Faso', 'Niger']","['BEN', 'BFA', 'NER']",5 Developing,,"[0.515, 0.423, 0.354]","[11175692.0, 19193382.0, 21477348.0]","[<shapely.geometry.point.Point object at 0x7f72c042ddc0>, <shapely.geometry.point.Point object at 0x7f72c042de20>, <shapely.geometry.point.Point object at 0x7f72c042de80>]",3,"[2.183333333, -2.066667, 10.0]","[8.833333333, 12.266667, 17.0]",612.0
671,frs,fea,Frisian (Eastern),Eurasia,DE,53.5833333333,7.5,Indo-European,Germanic,0,L,Germany,DEU,7 Shifting,200000.0,0.926,83149300.0,POINT (10 51),1,10.0,51.0,32.0
672,frs,fri,Frisian,Eurasia,NL DE,53.0,5.0,Indo-European,Germanic,0,L,Germany,DEU,7 Shifting,200000.0,0.926,83149300.0,POINT (10 51),1,10.0,51.0,33.0
673,fmp,fef,Fe'fe',Africa,CM,5.25,10.1666666667,Niger-Congo,Bantoid,0,L,Cameroon,CMR,5 Developing,,0.556,24053727.0,POINT (12 7),1,12.0,7.0,250.0
674,fuf,fgu,Fula (Guinean),Africa,GN,11.5,-12.5,Niger-Congo,Peul-Serer,0,L,"['Mali', 'Guinea', 'Guinea-Bissau']","['MLI', 'GIN', 'GNB']",2 Provincial,,"[0.427, 0.459, 0.455]","[18541980.0, 12717176.0, 1861283.0]","[<shapely.geometry.point.Point object at 0x7f72c041c040>, <shapely.geometry.point.Point object at 0x7f72c041c0a0>, <shapely.geometry.point.Point object at 0x7f72c041c100>]",3,"[-4.0, -11.0, -15.0]","[17.0, 10.0, 12.0]",196.0
675,fij,fij,Fijian,Papunesia,FJ,-17.8333333333,178.0,Austronesian,Oceanic,0,L,Fiji,FJI,4 Educational,341270.0,0.741,905502.0,POINT (178 -18),1,178.0,-18.0,29.0
676,fij,ndr,Nadroga,Papunesia,FJ,-18.0833333333,177.416666667,Austronesian,Oceanic,0,L,Fiji,FJI,4 Educational,341270.0,0.741,905502.0,POINT (178 -18),1,178.0,-18.0,35.0
677,fin,fin,Finnish,Eurasia,FI,62.0,25.0,Uralic,Finnic,0,L,"['Norway', 'Finland', 'Sweden', 'Russia', 'Estonia']","['NOR', 'FIN', 'SWE', 'RUS', 'EST']",1 National,5413380.0,"[0.957, 0.883, 0.907, 0.816, 0.861]","[5391369.0, 5501043.0, 10379295.0, 146804372.0, 1324820.0]","[<shapely.geometry.point.Point object at 0x7f72c041c220>, <shapely.geometry.point.Point object at 0x7f72c041c280>, <shapely.geometry.point.Point object at 0x7f72c041c2e0>, <shapely.geometry.point.Point object at 0x7f72c041c340>, <shapely.geometry.point.Point object at 0x7f72c041c3a0>]",5,"[11.0, 27.0, 15.0, 94.25, 26.0]","[65.0, 65.0, 61.0, 66.416666666, 59.0]",50.0
678,wyy,fiw,Fijian (Wayan),Papunesia,FJ,-17.0,177.3,Austronesian,Oceanic,0,L,Fiji,FJI,6a Vigorous,,0.741,905502.0,POINT (178 -18),1,178.0,-18.0,37.0
