country,countryLabel,point_cn,countryISO
http://www.wikidata.org/entity/Q2618621,Canton and Enderbury Islands,Point(-171.4 -3.0),CTE
http://www.wikidata.org/entity/Q407199,Palestinian territories,Point(35.2 31.883333333),PSE
http://www.wikidata.org/entity/Q752431,New Hebrides,Point(167.08282 -15.34246),NHB
http://www.wikidata.org/entity/Q797422,Republic of Upper Volta,Point(-2.066666666 12.266666666),HVO
http://www.wikidata.org/entity/Q798431,Republic of Dahomey,Point(2.6 6.466666666),DHY
http://www.wikidata.org/entity/Q83286,Socialist Federal Republic of Yugoslavia,Point(19.466666666 42.783333333),YUG
http://www.wikidata.org/entity/Q838261,Federal Republic of Yugoslavia,Point(20.4667 44.8167),YUG
http://www.wikidata.org/entity/Q842829,Svalbard and Jan Mayen,Point(21.9939078 78.6351661),SJM
http://www.wikidata.org/entity/Q1000,Gabon,Point(11.5 -0.683330555),GAB
http://www.wikidata.org/entity/Q1005,The Gambia,Point(-15.5 13.5),GMB
http://www.wikidata.org/entity/Q1006,Guinea,Point(-11.0 10.0),GIN
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Point(-15.0 12.0),GNB
http://www.wikidata.org/entity/Q1008,Ivory Coast,Point(-6.0 8.0),CIV
http://www.wikidata.org/entity/Q1009,Cameroon,Point(12.0 7.0),CMR
http://www.wikidata.org/entity/Q1011,Cape Verde,Point(-24.083333333 15.916666666),CPV
http://www.wikidata.org/entity/Q1013,Lesotho,Point(28.25 -29.55),LSO
http://www.wikidata.org/entity/Q1014,Liberia,Point(-9.75 6.533333),LBR
http://www.wikidata.org/entity/Q1016,Libya,Point(17.0 27.0),LBY
http://www.wikidata.org/entity/Q1019,Madagascar,Point(47.0 -20.0),MDG
http://www.wikidata.org/entity/Q1020,Malawi,Point(34.0 -13.0),MWI
http://www.wikidata.org/entity/Q1025,Mauritania,Point(-11.0 21.0),MRT
http://www.wikidata.org/entity/Q1027,Mauritius,Point(57.5 -20.2),MUS
http://www.wikidata.org/entity/Q1028,Morocco,Point(-6.0 32.0),MAR
http://www.wikidata.org/entity/Q1029,Mozambique,Point(35.0 -19.0),MOZ
http://www.wikidata.org/entity/Q1030,Namibia,Point(17.0 -23.0),NAM
http://www.wikidata.org/entity/Q1032,Niger,Point(10.0 17.0),NER
http://www.wikidata.org/entity/Q1033,Nigeria,Point(8.0 9.0),NGA
http://www.wikidata.org/entity/Q1036,Uganda,Point(32.39 1.28),UGA
http://www.wikidata.org/entity/Q1037,Rwanda,Point(29.873888888 -1.940277777),RWA
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,Point(6.6 0.316667),STP
http://www.wikidata.org/entity/Q1041,Senegal,Point(-14.283333 14.366667),SEN
http://www.wikidata.org/entity/Q1042,Seychelles,Point(52.766667 -7.1),SYC
http://www.wikidata.org/entity/Q1044,Sierra Leone,Point(-12.1 8.5),SLE
http://www.wikidata.org/entity/Q1045,Somalia,Point(47.0 6.0),SOM
http://www.wikidata.org/entity/Q1049,Sudan,Point(32.0 15.0),SDN
http://www.wikidata.org/entity/Q1050,Eswatini,Point(31.433333 -26.483333),SWZ
http://www.wikidata.org/entity/Q11703,United States Virgin Islands,Point(-64.833333 18.333333),VIR
http://www.wikidata.org/entity/Q1183,Puerto Rico,Point(-66.5 18.25),PRI
http://www.wikidata.org/entity/Q1246,Kosovo,Point(20.833333333 42.55),XKS
http://www.wikidata.org/entity/Q13353,Montserrat,Point(-62.2 16.75),MSR
http://www.wikidata.org/entity/Q1410,Gibraltar,Point(-5.345361111 36.13775),GIB
http://www.wikidata.org/entity/Q14773,Macau,Point(113.55 22.166666666),MAC
http://www.wikidata.org/entity/Q15180,Soviet Union,Point(90.0 65.0),SUN
http://www.wikidata.org/entity/Q16635,Guam,Point(144.8 13.5),GUM
http://www.wikidata.org/entity/Q16641,American Samoa,Point(-170.7075 -14.295833),ASM
http://www.wikidata.org/entity/Q16644,Northern Mariana Islands,Point(145.78 16.705),MNP
http://www.wikidata.org/entity/Q16645,United States Minor Outlying Islands,Point(166.633333 19.3),UMI
http://www.wikidata.org/entity/Q16957,German Democratic Republic,Point(12.389 52.052),DDR
http://www.wikidata.org/entity/Q17012,Guadeloupe,Point(-61.583333333 16.25),GLP
http://www.wikidata.org/entity/Q17054,Martinique,Point(-61.0 14.666666666),MTQ
http://www.wikidata.org/entity/Q17063,Mayotte,Point(45.138333333 -12.843055555),MYT
http://www.wikidata.org/entity/Q17070,Réunion,Point(55.5325 -21.114444444),REU
http://www.wikidata.org/entity/Q18221,Turks and Caicos Islands,Point(-71.8 21.78),TCA
http://www.wikidata.org/entity/Q21203,Aruba,Point(-69.97422388 12.51106253),ABW
http://www.wikidata.org/entity/Q23408,Bouvet Island,Point(3.35833 -54.42222),BVT
http://www.wikidata.org/entity/Q23635,Bermuda,Point(-64.75167 32.30444),BMU
http://www.wikidata.org/entity/Q23635,Bermuda,Point(-64.75 32.333333),BMU
http://www.wikidata.org/entity/Q25227,Netherlands Antilles,Point(-66.0 15.0),ANT
http://www.wikidata.org/entity/Q25228,Anguilla,Point(-63.048888888 18.227222222),AIA
http://www.wikidata.org/entity/Q25230,Guernsey,Point(-2.583333333 49.45),GGY
http://www.wikidata.org/entity/Q25279,Curaçao,Point(-68.966666666 12.166666666),CUW
http://www.wikidata.org/entity/Q25305,British Virgin Islands,Point(-64.5 18.5),VGB
http://www.wikidata.org/entity/Q25362,Saint Barthélemy,Point(-62.8342438 17.897728),BLM
http://www.wikidata.org/entity/Q258,South Africa,Point(24.0 -29.0),ZAF
http://www.wikidata.org/entity/Q262,Algeria,Point(1.0 28.0),DZA
http://www.wikidata.org/entity/Q26273,Sint Maarten,Point(-63.067777777 18.031944444),SXM
